personal_or_business,business_number,vehicle_type,standard_or_express,platform,cancel_reason,cancelled_by,placement_day,placement_time,confirmation_day,confirmation_time,cancellation_day,cancellation_time,distance_(km),pickup_lat,pickup_long,scheduled
Personal,-1.0,Bike,Express,android,No driver has been allocated to my request.,Customer,1,17:55:38,1,,1,17:56:35,9,-1.3130528000000001,36.8414372,OnDemAND
Personal,-1.0,Bike,Express,android,My order is not ready.,Customer,1,12:26:27,1,12:27:36,1,12:28:44,14,-1.3189593000000002,36.8533936,OnDemAND
Business,20680.0,Bike,Express,android,I placed the wrong locations.,Customer,1,13:21:18,1,13:21:34,1,13:47:29,16,-1.3138542,36.706866999999995,OnDemAND
Personal,-1.0,Bike,Express,android,My order is not ready.,Customer,1,10:29:19,1,,1,10:29:29,20,-1.2061968,36.7787765,OnDemAND
Personal,-1.0,Bike,Standard,ios,No Partner,Staff,1,14:34:05,1,14:59:08,1,15:49:41,11,-1.2969585,36.8081662,OnDemAND
Personal,-1.0,Bike,Express,ios,Customer error,Staff,1,07:37:19,1,07:38:09,1,08:03:28,7,-1.2913516999999999,36.772931,OnDemAND
Personal,-1.0,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,10:11:45,1,,1,10:15:04,16,-1.2126162,36.90813789999999,OnDemAND
Personal,-1.0,Bike,Standard,desktop,No driver has been allocated to my request.,Customer,2,16:10:52,2,,2,07:44:42,21,-1.2571297,36.699467,Scheduled
Personal,-1.0,Bike,Express,android,No driver has been allocated to my request.,Customer,1,18:09:06,1,18:11:37,1,18:11:49,10,-1.2787556999999998,36.8217389,OnDemAND
Business,20680.0,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,16:01:11,1,,1,16:48:49,11,-1.223622,36.80815,OnDemAND
Business,17968.0,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,08:46:43,1,08:51:54,1,08:55:00,13,-1.2785454,36.83440170000001,OnDemAND
Business,57544.0,Bike,Standard,API,No Partner,Staff,1,17:19:39,1,17:52:53,1,19:01:43,6,-1.304977,36.78363,OnDemAND
