Personal or Business,Business Number,Vehicle Type,Standard or Express,Platform,Cancel Reason,Cancelled by,Placement Day,Placement Time,Confirmation Day,Confirmation Time,Cancellation Day,Cancellation Time,Distance (KM),Pickup Lat,Pickup Long,scheduled
Personal,,Bike,Express,android,No driver has been allocated to my request.,Customer,1,17:55:38,,,1,17:56:35,9,-1.3130528,36.8414372,OnDemAND
Personal,,Bike,Express,android,My order is not ready.,Customer,1,12:26:27,1,12:27:36,1,12:28:44,14,-1.3189593,36.8533936,OnDemAND
Business,20680,Bike,Express,android,I placed the wrong locations.,Customer,1,13:21:18,1,13:21:34,1,13:47:29,16,-1.3138542,36.7068670,OnDemAND
Personal,,Bike,Express,android,My order is not ready.,Customer,1,10:29:19,,,1,10:29:29,20,-1.2061968,36.7787765,OnDemAND
Personal,,Bike,Standard,ios,No Partner,Staff,1,14:34:05,1,14:59:08,1,15:49:41,11,-1.2969585,36.8081662,OnDemAND
Personal,,Bike,Express,ios,Customer error,Staff,1,7:37:19,1,7:38:09,1,8:03:28,7,-1.2913517,36.7729310,OnDemAND
Personal,,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,10:11:45,,,1,10:15:04,16,-1.2126162,36.9081379,OnDemAND
Personal,,Bike,Standard,desktop,No driver has been allocated to my request.,Customer,1,16:10:52,,,2,7:44:42,21,-1.2571297,36.6994670,Scheduled
Personal,,Bike,Express,android,No driver has been allocated to my request.,Customer,1,18:09:06,1,18:11:37,1,18:11:49,10,-1.2787557,36.8217389,OnDemAND
Business,20680,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,16:01:11,,,1,16:48:49,11,-1.2236220,36.8081500,OnDemAND
Business,17968,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,8:46:43,1,8:51:54,1,8:55:00,13,-1.2785454,36.8344017,OnDemAND
Business,57544,Bike,Standard,API,No Partner,Staff,1,17:19:39,1,17:52:53,1,19:01:43,6,-1.3049770,36.7836300,OnDemAND
Business,52840,Bike,Express,desktop,I placed the wrong locations.,Customer,1,14:52:03,,,1,14:52:18,2,-1.2741047,36.8023744,OnDemAND
Personal,,Bike,Express,android,I placed the wrong locations.,Customer,1,10:35:00,1,10:36:08,1,10:36:18,0,-1.2730100,36.8836200,OnDemAND
Business,20680,Bike,Standard,desktop,No Partner,Staff,1,15:09:54,1,15:27:58,2,3:00:00,20,-1.2563472,36.8002633,OnDemAND
Personal,,Bike,Standard,ios,No Partner,Staff,1,9:42:43,1,10:20:30,1,11:33:52,8,-1.2464446,36.7914952,OnDemAND
Business,40300,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,13:11:29,,,1,13:18:31,8,-1.2725280,36.8161080,OnDemAND
Business,32692,Bike,Express,API,Customer error,Staff,1,15:27:41,,,1,15:36:08,0,-1.3236904,36.8737943,OnDemAND
Business,57784,Bike,Express,desktop,I placed the wrong locations.,Customer,1,11:39:07,1,11:40:09,1,11:50:07,7,-1.2855919,36.7726629,OnDemAND
Personal,,Bike,Express,android,No driver has been allocated to my request.,Customer,1,15:23:41,,,1,15:26:42,24,-1.2938351,36.6906435,OnDemAND
Business,56992,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,16:03:24,,,1,16:18:24,26,-1.3271449,36.8980055,OnDemAND
Personal,,Bike,Express,android,No driver has been allocated to my request.,Customer,1,15:21:25,,,1,15:21:34,42,-1.1354423,36.7689210,OnDemAND
Personal,,Bike,Standard,android,My order is not ready.,Customer,1,10:43:22,,,1,10:43:33,13,-1.3226958,36.8860553,OnDemAND
Business,22996,Bike,Standard,android,No Partner,Staff,1,9:58:26,,,1,10:02:35,5,-1.3242826,36.8903315,OnDemAND
Personal,,Bike,Express,android,The driver is too far away.,Customer,1,12:21:46,,,1,12:23:06,7,-1.2981530,36.7962580,OnDemAND
Personal,,Bike,Standard,desktop,My order is not ready.,Customer,1,17:47:26,,,1,17:47:54,7,-1.3020066,36.7698423,OnDemAND
Personal,,Bike,Express,android,I placed the wrong locations.,Customer,1,19:22:37,,,1,19:44:54,18,-1.2777121,36.8825608,OnDemAND
Personal,,Bike,Express,android,No driver has been allocated to my request.,Customer,1,10:19:07,1,10:20:03,1,10:21:24,23,-1.2743114,36.8111191,OnDemAND
Business,23728,Bike,Standard,desktop,My order is not ready.,Customer,1,11:02:04,,,1,11:02:19,22,-1.2639895,36.7824034,OnDemAND
Business,20680,Bike,Express,desktop,No Partner,Staff,1,10:32:37,1,15:51:55,2,3:00:00,6,-1.2644895,36.7847034,Scheduled
Personal,,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,13:28:44,,,1,13:36:53,7,-1.3198394,36.8273210,OnDemAND
Business,57544,Bike,Standard,API,No Partner,Staff,1,17:46:28,1,19:09:26,1,19:14:45,6,-1.2986770,36.7833300,OnDemAND
